exchange, name, bankroll, eProfit, sdProfit, pptd, winRate, buyRate, days, hProfit
FRA       ,       2DD.F.csv,  23.956,  0.58,  3.63,   0.097,  0.42,   0.165,  260
BSE       ,  SWAGTAM.BO.csv,  23.656,  0.03,  0.04,   0.013,  0.55,   0.446,  260
BER       ,     R8Q1.BE.csv,  23.148,  0.38,  4.30,   0.187,  0.24,   0.496,  260
PNK       ,       ENCTF.csv,  23.119,  0.36,  4.03,   0.333,  0.03,   0.919,  260
PNK       ,        PLFX.csv,  23.000,  0.94, 14.61,   0.906,  0.02,   0.962,  260
 Inc."    ,        LKST.csv,  21.667,  0.08,  1.29,   0.079,  0.01,   0.969,  260
PNK       ,       PVTTF.csv,  21.000,  0.08,  1.26,   0.077,  0.00,   0.969,  260
PNK       ,        IMTO.csv,  20.000,  0.03,  0.31,   0.027,  0.01,   0.969,  260
 Inc"     ,        AEEI.csv,  18.000,  0.07,  1.07,   0.065,  0.00,   0.969,  260
BSE       , INDOSOLAR.BO.csv,  17.637,  0.05,  0.63,   0.035,  0.16,   0.708,  260
SET       ,   INSURE.BK.csv,  17.385,  0.03,  0.09,   0.013,  0.28,   0.431,  260
BSE       ,  SYMBIOX.BO.csv,  17.054,  0.02,  0.03,   0.011,  0.65,   0.465,  260
BER       ,      NSN.BE.csv,  16.875,  0.23,  1.98,   0.201,  0.03,   0.885,  260
LSE       ,      CATC.L.csv,  16.529,  0.04,  0.47,   0.033,  0.07,   0.931,  260
BSE       ,    SICAL.BO.csv,  16.377,  0.22,  2.00,   0.069,  0.29,   0.308,  260
BSE       , HEMORGANIC.BO.csv,  15.614,  0.03,  0.04,   0.011,  0.70,   0.404,  260
TOR       ,      HZM.TO.csv,  15.474,  0.18,  1.81,   0.070,  0.27,   0.392,  260
 Inc."    ,        FPMI.csv,  15.000,  0.05,  0.64,   0.050,  0.03,   0.923,  260
STU       ,      LUM.SG.csv,  15.000,  0.18,  2.00,   0.152,  0.07,   0.835,  260
PNK       ,        AMLC.csv,  14.286,  0.05,  0.84,   0.051,  0.00,   0.969,  260
PNK       ,       BITCF.csv,  13.764,  0.09,  1.07,   0.080,  0.09,   0.850,  260
BSE       , QUADRANT.BO.csv,  13.593,  0.02,  0.03,   0.010,  0.56,   0.531,  260
DUS       ,     WKM3.DU.csv,  13.245,  0.03,  0.23,   0.021,  0.08,   0.842,  260
BSE       , KHOOBSURAT.BO.csv,  13.025,  0.03,  0.03,   0.010,  0.71,   0.392,  260
 Inc."    ,        JOEY.csv,  13.000,  0.03,  0.27,   0.027,  0.03,   0.946,  260
 Inc."    ,        USRI.csv,  13.000,  0.12,  1.42,   0.114,  0.01,   0.954,  260
NSI       , IMPEXFERRO.NS.csv,  12.530,  0.02,  0.03,   0.010,  0.48,   0.562,  260
LSE       ,      MCLS.L.csv,  12.317,  0.56,  7.48,   0.377,  0.04,   0.669,  260
BSE       ,  PROFINC.BO.csv,  12.168,  0.03,  0.05,   0.010,  0.69,   0.338,  260
STU       ,     04CN.SG.csv,  12.000,  0.04,  0.69,   0.042,  0.00,   0.962,  260
 Inc."    ,        BROE.csv,  11.250,  0.13,  1.91,   0.121,  0.04,   0.946,  260
FRA       ,       TG4.F.csv,  10.821,  1.06,  7.57,   0.256,  0.37,   0.242,  260
HKG       ,     0451.HK.csv,  10.777,  0.34,  2.43,   0.065,  0.34,   0.192,  260
MEX       ,    BBDBN.MX.csv,  10.622,  0.10,  1.57,   0.090,  0.03,   0.900,  260
BSE       ,   SAMPRE.BO.csv,  10.319,  0.02,  0.04,   0.009,  0.74,   0.400,  260
BER       ,      RR7.BE.csv,  10.000,  0.04,  0.57,   0.035,  0.00,   0.969,  260
ASX       ,      CRL.AX.csv,   9.925,  0.04,  0.58,   0.035,  0.02,   0.912,  260
PNK       ,        EDXC.csv,   9.438,  0.12,  0.88,   0.030,  0.34,   0.250,  260
BSE       ,      MPL.BO.csv,   9.292,  0.03,  0.04,   0.009,  0.76,   0.319,  260
NSI       , IL&FSENGG.NS.csv,   9.124,  0.02,  0.03,   0.009,  0.73,   0.373,  260
PNK       ,        HRBK.csv,   8.978,  0.02,  0.10,   0.012,  0.12,   0.777,  260
PNK       ,        BWPC.csv,   8.843,  0.02,  0.16,   0.014,  0.17,   0.688,  260
PNK       ,        WAYS.csv,   8.825,  0.02,  0.28,   0.019,  0.06,   0.846,  260
HKG       ,     3639.HK.csv,   8.522,  0.02,  0.26,   0.019,  0.05,   0.746,  260
PNK       ,       BLIAQ.csv,   8.487,  0.29,  3.23,   0.206,  0.14,   0.700,  260
BER       ,      B3W.BE.csv,   8.365,  0.11,  0.64,   0.021,  0.40,   0.192,  260
BER       ,      LF9.BE.csv,   8.363,  0.03,  0.22,   0.019,  0.12,   0.658,  260
STU       ,      SZL.SG.csv,   7.903,  0.03,  0.07,   0.009,  0.63,   0.273,  260
STO       ,    SOFFO.ST.csv,   7.779,  0.01,  0.07,   0.009,  0.27,   0.650,  260
BSE       , INDIANVSH.BO.csv,   7.501,  0.03,  0.03,   0.008,  0.73,   0.315,  260
IST       ,    ATSYH.IS.csv,   7.386,  0.02,  0.04,   0.008,  0.61,   0.465,  260
BSE       ,    ACROW.BO.csv,   7.201,  0.01,  0.03,   0.008,  0.44,   0.635,  260
FRA       ,       4RG.F.csv,   7.124,  0.20,  1.83,   0.059,  0.22,   0.292,  260
PNK       ,        TSCC.csv,   7.000,  0.02,  0.38,   0.023,  0.00,   0.969,  260
